question_id,ground_truth_valid,hidden_event_not_leaked,candidates_unique,distractors_plausible,multiple_possible_answers,timeline_coherent,reviewer_notes
Q333616_1983_P39,PASS,PASS,PASS,PASS,NO,PASS,"1983年英国大选正是第49届议会开始，与47/48届及1987上院的序列完美衔接；干扰项F(第46届)已于1974年解散不可能1983开始，D(台北市议员)与E(第19届议会,19世纪)偏假但多数尚可信。"
Q11459_2002_P166,PASS,PASS,PASS,PASS,NO,PASS,小威2002年确获美联社年度最佳运动员；题面2000年Laureus年度最佳女运动员存疑(该年得主为Marion Jones，小威首获在2003)属上游Wikidata数据问题但不破坏自洽；B(欧洲电影奖最佳导演)、C(苏军兄弟情谊奖章)对网球运动员一眼假，其余可信。
Q46025807_1986_P69,PASS,PASS,PASS,PASS,NO,PASS,Aberle为UCLA放射科专家，1986入UCSF(放射科住院/进修)后1987入职UCLA医学院衔接自然；本人错时项A(堪萨斯大学医学中心)是其早年MD阶段(约1970年代末)，1986再入学不合理，多解风险低。
Q159681_2009_P166,PASS,PASS,PASS,PASS,NO,PASS,俄政府嘉奖置于2003/2008政府荣誉证书与2011友谊勋章之间协调；本人错时项B(东德英雄金质奖章)因东德1990年已不存在、F(列宁奖1991年停颁)在2009年均为时代性不可能，属'看似贴人实则年代穿帮'，但对不知情者表面仍可信。
Q173158_2000_P166,PASS,PASS,PASS,PASS,NO,PASS,"金斯利2000年获CBE、随后(题面2001)获下级骑士爵位的晋升序列符合英制荣誉惯例；干扰项B(Dame女爵级CBE)对男性一眼假、E(俄联邦人民艺术家)偏假，其余可信；本人错时D(广播影评人协会奖,实为Sexy Beast时期约2002)在2000年不成立。"
Q34060_1968_P39,PASS,PASS,PASS,WEAK,NO,PASS,"拉宾1968年卸任总参谋长后出任驻美大使是史实，衔接1964总参谋长与1970迈阿密荣誉博士；但干扰项A(威尔士事务大臣)、C(比利时众议员)、E(挪威议会议长)、F(法国驻美大使)对以色列名人全是错国别一眼假，仅D(诺贝尔和平奖,其1994年真获)可信——名人题干扰项国别过滤不足。"
Q21063295_2002_P108,PASS,PASS,PASS,PASS,POSSIBLE,PASS,"乳腺外科医生2002年入职BreastScreen WA与2003年入澳大利亚皇家外科学院衔接合理；但本人错时项F(西澳大学)——她2000年代初正是迁往珀斯任西澳大学外科教授的时期，2002年开始受雇于UWA同样说得通，存在多解风险(P582区间规则依赖Wikidata记录的起止年,未必覆盖真实任职区间)。"
Q5590197_1998_P166,PASS,PASS,PASS,WEAK,NO,PASS,"瑞典经济学家1998年获鲁汶天主教大学荣誉博士讲得通(其1995/1999两任欧洲议会议员之间)；但A(科幻Locus短篇奖)、B(Vanderbilt生物医学奖)、C(Marcel Pagnol电影奖)对经济学家政治家均一眼假,过半失真；E(巴黎天主教大学荣誉博士)与正确项高度相似是好干扰,D(教授)其实际任教授远早于1998不构成多解。"
Q3393758_2010_P108,PASS,PASS,PASS,WEAK,POSSIBLE,PASS,"西班牙主持人2010年入职Atresmedia处在2006与2016两段RTVE之间，讲得通但难独立核实；本人错时项B(Mediaset España)对同为西班牙电视人的她在2010年开始同样说得通，多解风险真实存在；D(瑞士意语大学)、E(摩尔基金会)、F(维也纳大学)对模特主持人一眼假,过半失真。"
Q311793_1977_P166,PASS,PASS,PASS,PASS,NO,PASS,"阿迦汗四世1977年获意大利共和国功绩勋章大十字骑士与其国际荣誉序列(1983 McGill、1986摩洛哥王座大绶章)协调；E(同勋章带颈饰级,通常授国家元首)与C(KBE,其实际2004年获)表面高度可信但1977年不成立,A(不来梅文学奖)、F(Collier航空奖)偏假；本组多解风险低。"
Q615077_2002_P39,PASS,PASS,PASS,PASS,NO,PASS,"John Healey 2002 年实任 Economic Secretary to the Treasury,与 2005 年升任 Financial Secretary 衔接顺;C(影子住房大臣)在工党执政的 2002 年不成立,F(社区与地方政府国务大臣)为其 2007 年后职位,均无多解风险。"
Q59571709_2001_P69,PASS,PASS,PASS,PASS,POSSIBLE,PASS,"2001 年入剑桥深造夹在 1995 曼大与 2005 萨塞克斯就职之间讲得通;但 F(本人错时:约克圣约翰大学就职)放在 2001 年与题面时线不冲突,毕业后先工作再读博也说得通,存在双解疑虑。"
Q174037_1912_P39,PASS,PASS,PASS,WEAK,NO,PASS,"1911-1913 年第 62 届国会参院临时议长轮值名单确含 Lodge,正解成立;但 B(新南威尔士)/C(西班牙众议长)/E(巴伊亚参议员)对满屏美国参议员的题面一眼假,过半干扰项失真;题面同一职位每两年重复一次系逐届建模,冗余但不矛盾。"
Q69430_1965_P166,PASS,PASS,PASS,WEAK,NO,PASS,"驻外记者 1965 年获 Grimme 电视奖与其 1960 记者、1969 WDR 履历协调;但 A(美国音乐奖 R&B 曲目)、B(41 岁重上中学、且 1956 已上大学)一眼假,D(化学界 Willard Gibbs 奖)亦难信,过半失真。"
Q205739_2008_P166,PASS,PASS,PASS,PASS,NO,PASS,"Sproing(挪威漫画奖设翻译类)2008 授予 Alan Moore 可信且与获奖时线协调;C(Prix Laure Bataillon)确系其真实奖项但在 2017 年前后而非 2008,B 金球奖/E 卡尔·马克思勋章较假但未过半。"
Q56570593_1999_P108,PASS,PASS,PASS,PASS,POSSIBLE,PASS,"意大利天体物理学家 1999 年入乌迪内大学任教承接 1993 CERN 讲得通;但 B(本人错时:INFN)是意大利物理学者的常伴机构,1999 年入职亦完全说得通,有多解疑虑;题面 2010/2012 两次""开始供职 MPI""重复冗余但不矛盾。"
Q3106470_1983_P108,PASS,PASS,PASS,WEAK,NO,PASS,"Pélisson 1983 年(哈佛 MBA 后)入职雅高集团有实据且衔接顺;但 A(普瓦捷大学)/D(柏林工大)/E(MIT)三个高校雇主对纯商界履历一眼假,过半失真;B(重回 ESSEC 就读)在 MBA 之后也不合理。"
Q16509177_1928_P69,PASS,PASS,PASS,WEAK,NO,PASS,"McVittie 1923 爱丁堡毕业后 1928 赴剑桥读博、1930 入利兹,史实与时线双合;但 D(大阪大学 1931 年才建校)、F(德国中学、且属 2010 年后校制)、B(伊利诺伊为其 1952 年真实雇主,1928 年在读不合理)一眼假,过半失真。"
Q118773987_2015_P69,PASS,PASS,PASS,WEAK,NO,PASS,"2014 年 MOME 硕士在读期间 2015 赴马赛美院可解释为交换,讲得通;但 A(重上中学)、D(MIT)、E(LSE)、B(里昂商学院)对动画艺术履历过半失真,仅 F(巴黎美院)是与正解同名系的强混淆但非本人记录。"
Q12499407_2009_P39,PASS,PASS,PASS,WEAK,NO,PASS,"2009 年任地方代表理事会(DPD)议员、2014 年转任国会(DPR)议员的印尼政坛路径讲得通;但 C(英式教育大臣)/E(香港临立会)/F(瑞典议会)对题面已明示的印尼议员一眼假,过半失真,仅 B(COO)表面可信。"
Q52717578_2000_P69,PASS,PASS,PASS,PASS,NO,PASS,Wikidata证实INSEAD就读2000-2005；错时项京都大学实为1989-1993不覆盖2000，其余候选均非其真实事件；Kelvinside中学与女校Wellesley对男性略弱但多数可信。
Q14946814_1947_P108,PASS,PASS,PASS,PASS,NO,PASS,Wikidata证实Standard Life任职1947-1949，恰接爱丁堡1943-1947与剑桥1949；错时项Guy银奖实为1988；牛津/丹麦标准局等表面可信。
Q36878_1960_P166,PASS,PASS,PASS,PASS,NO,PASS,Wikidata证实列宁勋章1960年获授（另有1973/1974/1983多次）；错时项社会主义劳动英雄实为1974；苏联系干扰项整体可信，仅澳洲Lyle奖章突兀。
Q361149_1990_P166,PASS,PASS,PASS,WEAK,NO,PASS,Wikidata证实Premio Gigamesh为1990；错时项Campbell纪念奖实为1984；但凯撒最佳导演奖/波兰建国千年徽章/数学Forder讲席对美国科幻作家3/5一眼假。
Q67641_2009_P166,PASS,PASS,PASS,PASS,NO,PASS,Wikidata证实Herbert Strate奖为2009；错时项德国联邦十字勋章军官级实为1999；BAFTA最佳女主角与NBA最佳新秀阵容2项一眼假但未过半。
Q389189_2015_P39,PASS,PASS,PASS,WEAK,NO,PASS,Wikidata证实第56届议会议员2015-2017；错时项农业食品国务大臣实为2022年起不覆盖2015；但英国第15届议会/直布罗陀/日本总务大臣/纽约州众议员4/5明显假。
Q40640_1977_P166,PASS,PASS,PASS,PASS,NO,PASS,Wikidata证实世界奇幻奖终身成就为1977；错时项世界恐怖大会大师奖实为2001；奇幻选集奖与意大利文学奖等多数可信。
Q5866146_1995_P39,PASS,PASS,PASS,WEAK,NO,PASS,Wikidata证实驻欧盟常代1995-2000；错时项驻不丹大使实为2011-2012；但联邦卫生部长/波兰人民共和国众议员/法国驻联合国常代3/5与西班牙外交官身份明显不符。
Q4422988_1966_P166,PASS,PASS,PASS,PASS,NO,PASS,Wikidata证实劳动红旗勋章1966年获授（另有1953）；错时项十月革命勋章实为1973且该勋章1967年才设立；标签近似项劳动红星勋章诱错性好。
Q59753255_1991_P69,PASS,PASS,PASS,PASS,NO,PASS,Wikidata证实中科院就读1991-1994，恰接浙大1987-1991与石溪1994；错时项Keithley奖实为2026年且类型错配（教育题中夹奖项）；社科院标签陷阱设计好。
Q2372634_1970_P166,PASS,PASS,PASS,WEAK,NO,PASS,列宁诞辰百年纪念章即1970年设立颁发的年份专属奖章，与苏联飞行员身份完全吻合；但IMS会士/奥斯卡编剧奖/Bravo Otto三个干扰项对苏军军官语境一眼假(3/5)。
Q1392426_1998_P166,PASS,PASS,PASS,WEAK,POSSIBLE,PASS,正确项(白俄罗斯祖国勋章3级)与题面白俄奖项脉络协调；但干扰项B'Order of Fatherland'与正确项仅差等级后缀、近乎标签包含关系，题面上难以区分，且巴斯勋章/FIFA最佳阵容/恩格勒植物学奖对东正教都主教一眼假(3/5)。
Q41044400_1990_P69,PASS,PASS,PASS,PASS,NO,PASS,1982入欧洲学校→1990约18岁入爱丁堡大学→1997/98工作，进程协调；干扰项多为同类大学就读、表面可信；小瑕疵：题面1997年任职的都灵国际大学学院实际2006年才建校，疑为Wikidata机构错链但不破坏本题。
Q1399304_1993_P39,PASS,PASS,PASS,WEAK,NO,PASS,O'Kennedy 1992年大选失去众议员席位、1993年入参议院、1997年重回众议院，正确项恰好填补题面Dáil任期空档；但萨拉戈萨市长/特鲁瓦市长/英国影子大臣对爱尔兰政客语境一眼假(3/5)。
Q197996_1947_P69,PASS,PASS,PASS,PASS,NO,PASS,周明镇1947赴美入迈阿密大学(1948硕士)→1948理海→1950普林斯顿，进程吻合；本人错时项(中科院学部委员)因中科院1949年才成立在1947不可能成立，答案唯一。
Q56099781_2016_P166,PASS,PASS,PASS,PASS,NO,PASS,Lefoulon-Delalande大奖为心血管研究奖项，与Dejana血管生物学方向及2018年INSERM国际奖脉络协调；仅雨果奖半职业刊/MLB月度最佳球员两项一眼假(2/5)，其余可信。
Q1655204_2004_P39,PASS,PASS,PASS,PASS,NO,PASS,Brennan于2004年9月改组中由交通部长转任社会事务部长(Wikidata用现名Social Protection)，与题面2002交通/2007文化两任吻合；瑞典议长/丹麦首相两项一眼假(2/5)但整体过关。
Q6709382_2016_P166,PASS,PASS,PASS,PASS,NO,PASS,其共同主编的Uncanny Magazine确于2016年获雨果最佳半职业刊奖，与2012/13最佳Fancast脉络吻合；干扰项B雨果最佳系列奖2017年才设、E本人错时(Smith学生时代)在2016均不成立，答案唯一；拉脱维亚/芬兰国家勋章两项偏假(2/5)。
Q64213621_2014_P69,UNSURE,PASS,PASS,PASS,NO,PASS,西班牙政客在莱昂大学多学位间隙2014入西班牙远程教育大学(UNED)说得通但无法独立核实；本人错时项(2019年才任国会众议员)在2014不合理(时年约22岁且非选举年)，其余异国院校干扰项表面尚可。
Q49823_1992_P108,PASS,PASS,PASS,PASS,NO,PASS,Dana Scott 1992年在林茨开普勒大学任(客座)教职与其CMU时期国际活动协调、无时间线冲突；干扰项C美因茨古腾堡大学与正确项同为'Johannes'系德语区大学、迷惑性好，仅特勤局一项一眼假(1/5)。
