question_id,event_type,missing_year,year_bucket,n_context,has_same_person,popularity_bucket,correct_candidate_id,point_prediction,is_correct,in_top2,p_correct,rank_correct,chosen_distractor_type,set_0.80,size_0.80,cover_0.80,set_0.90,size_0.90,cover_0.90,set_0.95,size_0.95,cover_0.95
Q117074156_2009_P108,employment,2009,1990-2009,4,True,Q1_low,C,F,False,True,0.1703,2,same_type_random,A|C|E|F,4,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q1173953_1995_P108,employment,1995,1990-2009,4,True,Q1_low,A,E,False,True,0.1717,2,label_similar_same_type,A|B|C|D|E,5,True,A|B|C|D|E,5,True,A|B|C|D|E|F,6,True
Q38546080_2008_P108,employment,2008,1990-2009,4,True,Q2,C,E,False,False,0.1616,4,same_type_near_year,B|E|F,3,False,A|B|C|E|F,5,True,A|B|C|D|E|F,6,True
Q9123_1924_P166,award,1924,<1950,4,True,Q4_high,C,B,False,False,0.173,4,same_type_near_year,B|C|D|F,4,True,B|C|D|F,4,True,A|B|C|D|F,5,True
Q321457_1975_P39,position,1975,1950-1989,3,False,Q2,F,F,True,True,0.2142,1,,B|C|F,3,True,B|C|F,3,True,B|C|F,3,True
Q329295_1992_P108,employment,1992,1990-2009,4,True,Q2,D,A,False,False,0.1643,5,same_person_wrong_time,A|B|D|E|F,5,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q104266_2023_P166,award,2023,2010+,3,True,Q4_high,F,E,False,False,0.162,4,same_type_near_year,A|E,2,False,A|C|E|F,4,True,A|C|D|E|F,5,True
Q817446_1933_P108,employment,1933,<1950,4,True,Q1_low,E,C,False,False,0.1717,3,same_type_random,A|C|E|F,4,True,A|C|D|E|F,5,True,A|B|C|D|E|F,6,True
Q93381131_1978_P108,employment,1978,1950-1989,4,True,Q1_low,D,D,True,True,0.1767,1,,B|C|D|E|F,5,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q164396_1931_P108,employment,1931,<1950,4,True,Q4_high,F,D,False,False,0.1626,4,same_person_wrong_time,A|D|E,3,False,A|C|D|E|F,5,True,A|C|D|E|F,5,True
Q3529279_2020_P39,position,2020,2010+,3,True,Q2,C,E,False,False,0.1715,4,same_person_wrong_time,B|C|D|E|F,5,True,B|C|D|E|F,5,True,B|C|D|E|F,5,True
Q7615025_2010_P39,position,2010,2010+,3,True,Q4_high,C,A,False,False,0.1634,5,same_person_wrong_time,A|B|C|D|E,5,True,A|B|C|D|E,5,True,A|B|C|D|E|F,6,True
Q370054_1942_P108,employment,1942,<1950,4,True,Q2,D,A,False,False,0.1688,3,same_type_near_year,A|B|D|E,4,True,A|B|D|E|F,5,True,A|B|C|D|E|F,6,True
Q71490_2006_P166,award,2006,1990-2009,4,True,Q3,B,F,False,False,0.1667,3,same_person_wrong_time,B|C|D|F,4,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q669597_1996_P166,award,1996,1990-2009,3,True,Q4_high,B,A,False,False,0.1536,5,same_type_random,A|F,2,False,A|C|D|F,4,False,A|B|C|D|E|F,6,True
Q36159_2017_P166,award,2017,2010+,4,True,Q4_high,C,E,False,False,0.1661,3,same_type_near_year,B|C|E,3,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q108560_2014_P166,award,2014,2010+,3,True,Q4_high,F,C,False,False,0.1677,3,same_type_random,B|C|D|E|F,5,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q6709382_2016_P166,award,2016,2010+,4,True,Q3,D,C,False,False,0.148,6,same_type_near_year,C,1,False,C,1,False,A|C|F,3,False
Q1071878_1974_P166,award,1974,1950-1989,4,True,Q3,C,F,False,True,0.171,2,same_type_random,A|C|D|F,4,True,A|C|D|F,4,True,A|B|C|D|F,5,True
Q1687846_1969_P39,position,1969,1950-1989,4,True,Q3,D,D,True,True,0.1901,1,,A|C|D|E,4,True,A|C|D|E,4,True,A|C|D|E|F,5,True
Q2252186_2004_P108,employment,2004,1990-2009,3,True,Q2,A,B,False,False,0.1693,3,same_person_wrong_time,A|B|C|D,4,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q64213621_2014_P69,education,2014,2010+,3,True,Q1_low,E,B,False,False,0.1534,6,same_person_wrong_time,B|F,2,False,A|B|C|D|F,5,False,A|B|C|D|E|F,6,True
Q1229886_1868_P39,position,1868,<1950,4,True,Q3,E,C,False,True,0.1733,2,same_person_wrong_time,B|C|E|F,4,True,A|B|C|E|F,5,True,A|B|C|D|E|F,6,True
Q105756_2005_P166,award,2005,1990-2009,4,True,Q4_high,E,F,False,False,0.1596,6,same_type_near_year,A|B|D|F,4,False,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q234663_1931_P69,education,1931,<1950,3,True,Q3,B,C,False,True,0.1689,2,same_type_random,A|B|C|D|F,5,True,A|B|C|D|F,5,True,A|B|C|D|E|F,6,True
Q47259175_2012_P69,education,2012,2010+,4,True,Q2,B,A,False,False,0.1568,6,label_similar_same_type,A|C|E|F,4,False,A|C|D|E|F,5,False,A|B|C|D|E|F,6,True
Q1722334_1970_P166,award,1970,1950-1989,4,True,Q3,E,F,False,False,0.1473,6,same_type_near_year,A|B|C|F,4,False,A|B|C|F,4,False,A|B|C|F,4,False
Q6538_1968_P166,award,1968,1950-1989,4,True,Q4_high,E,F,False,True,0.1759,1,label_similar_same_type,A|B|E|F,4,True,A|B|C|E|F,5,True,A|B|C|E|F,5,True
Q59709352_2011_P69,education,2011,2010+,4,True,Q1_low,F,A,False,False,0.1691,3,same_type_near_year,A|C|E|F,4,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q1385013_2007_P108,employment,2007,1990-2009,4,True,Q3,A,A,True,True,0.1809,1,,A|B|F,3,True,A|B|C|D|E|F,6,True,A|B|C|D|E|F,6,True
Q728626_1997_P166,award,1997,1990-2009,4,True,Q2,D,A,False,False,0.1653,5,same_type_random,A|B|C|D|E,5,True,A|B|C|D|E,5,True,A|B|C|D|E,5,True
Q43969_2017_P166,award,2017,2010+,4,True,Q4_high,B,E,False,False,0.1656,3,same_type_near_year,B|C|E,3,True,B|C|D|E|F,5,True,B|C|D|E|F,5,True
Q7648182_2017_P166,award,2017,2010+,3,True,Q2,E,C,False,False,0.1615,4,label_similar_same_type,B|C|F,3,False,B|C|E|F,4,True,A|B|C|E|F,5,True
Q49823_1992_P108,employment,1992,1990-2009,4,True,Q3,D,B,False,False,0.1608,4,same_type_near_year,B|C|E,3,False,B|C|D|E,4,True,A|B|C|D|E,5,True
Q272201_2010_P39,position,2010,2010+,4,True,Q3,E,C,False,True,0.1819,2,same_type_near_year,B|C|E|F,4,True,B|C|E|F,4,True,A|B|C|E|F,5,True
Q6377445_1974_P69,education,1974,1950-1989,3,True,Q1_low,C,E,False,False,0.1685,4,label_similar_same_type,A|B|C|E,4,True,A|B|C|D|E,5,True,A|B|C|D|E|F,6,True
Q16180049_2009_P39,position,2009,1990-2009,4,True,Q1_low,D,D,True,True,0.1865,1,,B|C|D|F,4,True,B|C|D|E|F,5,True,B|C|D|E|F,5,True
Q72334_2005_P166,award,2005,1990-2009,4,True,Q4_high,A,F,False,True,0.1742,2,same_type_random,A|B|C|E|F,5,True,A|B|C|E|F,5,True,A|B|C|D|E|F,6,True
Q333312_1997_P39,position,1997,1990-2009,3,True,Q2,A,B,False,True,0.1879,2,label_similar_same_type,A|B,2,True,A|B|C|D,4,True,A|B|C|D|E,5,True
Q455820_1986_P39,position,1986,1950-1989,4,True,Q3,C,A,False,False,0.1602,4,same_type_near_year,A|B|D,3,False,A|B|C|D,4,True,A|B|C|D|E|F,6,True
